"","Date","month","day_of_week.x","weekday_weekend","dew_point","wind_speed","temperature","hdd","cdd","demand_forecast","demand","net_generation","total_interchange","forecast_error"
"146",2015-11-23,"2015-11",2,0,-3.2,0.816666666666667,1.81666666666667,0,16.5166666666667,2875.875,2482.54166666667,2528.5,2092.625,393.333333333333
"147",2015-11-24,"2015-11",3,0,-0.170833333333333,0.720833333333333,4.65,0,13.6833333333333,2760.45833333333,2498.41666666667,2840.04166666667,2729.04166666667,262.041666666667
"148",2015-11-25,"2015-11",4,0,2.76666666666667,0.858333333333333,6.27083333333333,0,12.0625,1929.5,1823.25,2328.375,3033.83333333333,106.25
"149",2015-11-26,"2015-11",5,0,7.2875,0.933333333333333,8.675,0,9.65833333333333,6503.79166666667,7071.125,9063.04166666667,2557.25,-567.333333333333
"150",2015-11-27,"2015-11",6,1,9.58333333333333,0.695833333333333,12.6,0,5.73333333333333,10112.5416666667,10653.7916666667,11133.125,3100.16666666667,-541.25
"151",2015-11-28,"2015-11",7,1,11.2458333333333,0.695833333333333,14.1708333333333,0,4.1625,10427.5416666667,10542.7916666667,11554.9166666667,2999.04166666667,-115.25
"152",2015-11-29,"2015-11",1,0,12.5,0.575,14.9708333333333,0,3.3625,8824.5,8530.20833333333,10192.2083333333,1897.04166666667,294.291666666666
"153",2015-11-30,"2015-11",2,0,12.2166666666667,1.075,12.4166666666667,0,5.91666666666667,4282.66666666667,3928.33333333333,4391.875,1451.29166666667,354.333333333333
"154",2015-12-01,"2015-12",3,0,9.57083333333333,0.575,9.79583333333333,0,8.5375,4068.16666666667,3633.5,4230.70833333333,1561.45833333333,434.666666666667
"155",2015-12-02,"2015-12",4,0,13.4375,1.275,13.5583333333333,0,4.775,4152.08333333333,4178.20833333333,4425.91666666667,1327.70833333333,-26.125
"156",2015-12-03,"2015-12",5,0,2.85416666666667,1.08333333333333,5.89583333333333,0,12.4375,4233.20833333333,4425.58333333333,5274.875,989.875,-192.375
"157",2015-12-04,"2015-12",6,1,-0.00416666666666667,0.941666666666667,3.61666666666667,0,14.7166666666667,2045.875,2226.83333333333,1683.5,1591.33333333333,-180.958333333333
"158",2015-12-05,"2015-12",7,1,1.19583333333333,1.1625,3.80833333333333,0,14.525,2039.375,2229.41666666667,3697.58333333333,1878.41666666667,-190.041666666667
"159",2015-12-06,"2015-12",1,0,2.575,0.75,6.89583333333333,0,11.4375,2954.91666666667,3023.375,4186.125,1502.125,-68.4583333333335
"160",2015-12-07,"2015-12",2,0,5.62083333333333,0.720833333333333,9.3375,0,8.99583333333334,3064.33333333333,2055.41666666667,4059.875,1759.20833333333,1008.91666666667
